λ,σ,Δσ
50.0,2.31e-17,NaN
50.83,2.37e-17,NaN
51.59,2.42e-17,NaN
52.31,2.47e-17,NaN
53.04,2.53e-17,NaN
53.8,2.59e-17,NaN
54.53,2.64e-17,NaN
55.26,2.71e-17,NaN
56.02,2.77e-17,NaN
56.78,2.83e-17,NaN
57.6,2.83e-17,NaN
58.33,2.85e-17,NaN
59.09,2.89e-17,NaN
59.82,2.95e-17,NaN
60.54,3.02e-17,NaN
61.27,3.09e-17,NaN
62.03,3.15e-17,NaN
62.76,3.23e-17,NaN
63.49,3.29e-17,NaN
64.28,3.31e-17,NaN
65.01,3.36e-17,NaN
65.8,3.37e-17,NaN
66.43,3.44e-17,NaN
67.15,3.45e-17,NaN
67.82,3.49e-17,NaN
68.47,3.42e-17,NaN
69.14,3.5e-17,NaN
69.73,3.42e-17,NaN
70.42,3.48e-17,NaN
71.15,3.43e-17,NaN
71.91,3.43e-17,NaN
72.67,3.44e-17,NaN
73.4,3.5e-17,NaN
74.02,3.6e-17,NaN
74.42,3.72e-17,NaN
74.49,3.79e-17,NaN
74.66,3.9e-17,NaN
74.89,3.85e-17,NaN
75.05,3.82e-17,NaN
75.48,3.97e-17,NaN
75.85,3.99e-17,NaN
76.15,4.1e-17,NaN
76.31,4.19e-17,NaN
76.64,4.12e-17,NaN
77.0,4.06e-17,NaN
77.4,4.21e-17,NaN
77.64,4.38e-17,NaN
77.74,4.54e-17,NaN
78.1,4.45e-17,NaN
78.33,4.36e-17,NaN
78.83,4.47e-17,NaN
79.22,4.58e-17,NaN
79.49,4.7e-17,NaN
79.62,4.82e-17,NaN
79.76,4.93e-17,NaN
80.02,4.82e-17,NaN
80.18,4.65e-17,NaN
80.25,4.5e-17,NaN
80.47,4.36e-17,NaN
80.61,4.52e-17,NaN
80.88,4.68e-17,NaN
81.04,4.79e-17,NaN
81.5,4.6e-17,NaN
81.9,4.72e-17,NaN
82.13,4.54e-17,NaN
82.42,4.31e-17,NaN
83.02,4.39e-17,NaN
83.11,4.32e-17,NaN
83.21,4.03e-17,NaN
83.4,3.79e-17,NaN
83.67,3.59e-17,NaN
83.93,3.47e-17,NaN
84.09,3.45e-17,NaN
84.45,3.28e-17,NaN
84.72,3.09e-17,NaN
85.34,3.03e-17,NaN
85.97,2.98e-17,NaN
86.23,3.09e-17,NaN
86.43,3.23e-17,NaN
86.73,3.03e-17,NaN
86.86,2.89e-17,NaN
87.05,2.75e-17,NaN
87.26,2.97e-17,NaN
87.52,3.15e-17,NaN
87.63,3.53e-17,NaN
87.76,3.76e-17,NaN
87.96,3.51e-17,NaN
88.35,3.32e-17,NaN
88.48,3.17e-17,NaN
88.64,3.09e-17,NaN
88.97,3.06e-17,NaN
89.57,3.18e-17,NaN
90.0,3.32e-17,NaN
90.43,3.47e-17,NaN
90.86,3.61e-17,NaN
91.43,3.74e-17,NaN
92.22,3.78e-17,NaN
92.95,3.74e-17,NaN
93.54,3.62e-17,NaN
94.03,3.49e-17,NaN
94.53,3.35e-17,NaN
94.99,3.2e-17,NaN
95.48,3.07e-17,NaN
96.04,2.95e-17,NaN
96.63,2.83e-17,NaN
97.29,2.74e-17,NaN
97.98,2.66e-17,NaN
98.74,2.59e-17,NaN
99.47,2.54e-17,NaN
100.23,2.49e-17,NaN
100.98,2.44e-17,NaN
101.74,2.4e-17,NaN
102.5,2.37e-17,NaN
103.23,2.36e-17,NaN
104.02,2.36e-17,NaN
104.78,2.37e-17,NaN
106.0,2.38e-17,NaN
