λ,σ,Δσ
205.0,1.32e-18,NaN
210.0,4.21e-19,NaN
215.0,1.11e-19,NaN
220.0,7.5e-20,NaN
225.0,9.76e-20,NaN
230.0,1.49e-19,NaN
235.0,2.12e-19,NaN
240.0,3.21e-19,NaN
245.0,4.59e-19,NaN
250.0,6.33e-19,NaN
255.0,8.45e-19,NaN
260.0,1.06e-18,NaN
265.0,1.22e-18,NaN
270.0,1.28e-18,NaN
275.0,1.21e-18,NaN
280.0,1.04e-18,NaN
285.0,8.11e-19,NaN
290.0,5.85e-19,NaN
295.0,3.99e-19,NaN
300.0,2.59e-19,NaN
305.0,1.67e-19,NaN
310.0,1.09e-19,NaN
315.0,7.16e-20,NaN
320.0,4.79e-20,NaN
325.0,3.23e-20,NaN
330.0,2.14e-20,NaN
335.0,1.4e-20,NaN
340.0,9.06e-21,NaN
345.0,5.69e-21,NaN
350.0,3.5e-21,NaN
355.0,2.25e-21,NaN
360.0,1.33e-21,NaN
365.0,8.1e-22,NaN
370.0,4.8e-22,NaN
375.0,2.7e-22,NaN
380.0,1.7e-22,NaN
385.0,8.0e-23,NaN
390.0,6.0e-23,NaN
