λ,σ,Δσ
6.199,3.51e-19,NaN
6.525,3.4e-19,NaN
6.888,3.73e-19,NaN
7.293,4.17e-19,NaN
7.749,4.72e-19,NaN
8.266,4.61e-19,NaN
8.856,5.71e-19,NaN
9.537,6.15e-19,NaN
10.33,7.02e-19,NaN
11.27,8.34e-19,NaN
11.81,9.33e-19,NaN
12.4,1.2e-18,NaN
13.1,1.21e-18,NaN
13.8,1.42e-18,NaN
14.6,1.58e-18,NaN
15.5,1.88e-18,NaN
16.5,2.18e-18,NaN
17.7,2.68e-18,NaN
19.1,3.17e-18,NaN
20.7,3.61e-18,NaN
22.5,4.72e-18,NaN
24.8,5.92e-18,NaN
25.8,6.55e-18,NaN
27.0,7.22e-18,NaN
28.2,7.98e-18,NaN
29.5,9.19e-18,NaN
31.0,1.01e-17,NaN
31.8,1.09e-17,NaN
32.6,1.123e-17,NaN
33.5,1.228e-17,NaN
34.4,1.317e-17,NaN
35.4,1.397e-17,NaN
36.5,1.486e-17,NaN
37.6,1.586e-17,NaN
38.7,1.782e-17,NaN
40.0,1.898e-17,NaN
41.3,2.124e-17,NaN
42.0,2.174e-17,NaN
42.8,2.297e-17,NaN
43.5,2.41e-17,NaN
44.3,2.573e-17,NaN
45.1,2.576e-17,NaN
45.9,2.738e-17,NaN
46.8,2.904e-17,NaN
47.7,2.981e-17,NaN
48.6,3.155e-17,NaN
49.6,3.355e-17,NaN
50.6,3.51e-17,NaN
51.7,3.673e-17,NaN
52.8,3.836e-17,NaN
53.9,3.954e-17,NaN
55.1,4.156e-17,NaN
56.4,4.28e-17,NaN
57.7,4.389e-17,NaN
59.0,4.565e-17,NaN
60.5,4.714e-17,NaN
62.0,4.844e-17,NaN
63.6,5.042e-17,NaN
65.3,5.256e-17,NaN
67.0,5.418e-17,NaN
68.9,5.58e-17,NaN
70.8,5.714e-17,NaN
72.9,5.727e-17,NaN
75.1,5.561e-17,NaN
77.5,5.392e-17,NaN
80.0,5.511e-17,NaN
82.7,5.535e-17,NaN
85.5,5.475e-17,NaN
88.6,4.951e-17,NaN
91.8,4.421e-17,NaN
95.4,4.357e-17,NaN
99.2,4.723e-17,NaN
103.0,4.345e-17,NaN
108.0,2.784e-17,NaN
113.0,2.036e-17,NaN
118.0,2.205e-17,NaN
124.0,2.655e-17,NaN
131.0,2.256e-17,NaN
138.0,1.97e-17,NaN
146.0,1.947e-17,NaN
155.0,2.724e-17,NaN
165.0,2.667e-17,NaN
177.0,1.04e-17,NaN
191.0,1.38e-18,NaN
207.0,1.22e-18,NaN
