λ,σ,Δσ
825.303,NaN,NaN
826.731,NaN,NaN
826.736,NaN,NaN
826.984,NaN,NaN
831.054,NaN,NaN
832.142,NaN,NaN
832.145,3.0e-26,1.0e-26
832.895,3.0e-26,1.0e-26
833.044,2.0e-26,1.0e-26
833.163,3.0e-26,2.0e-26
833.645,3.0e-26,2.0e-26
833.807,4.0e-26,2.0e-26
833.875,3.0e-26,2.0e-26
833.879,NaN,NaN
833.933,NaN,NaN
833.942,7.0e-26,3.0e-26
834.004,3.0e-26,1.0e-26
834.009,NaN,NaN
834.06,NaN,NaN
834.493,3.0e-26,2.0e-26
834.497,NaN,NaN
834.501,NaN,NaN
834.505,NaN,NaN
834.538,7.0e-26,2.0e-26
834.547,5.0e-26,2.0e-26
834.715,6.0e-26,2.0e-26
834.731,NaN,NaN
834.845,3.0e-26,1.0e-26
834.886,4.0e-26,1.0e-26
834.908,5.0e-26,1.0e-26
834.95,NaN,NaN
834.955,NaN,NaN
834.961,3.0e-26,1.0e-26
834.988,4.0e-26,2.0e-26
835.076,NaN,NaN
835.087,6.0e-26,3.0e-26
835.224,1.5e-25,2.0e-26
835.242,1.4e-25,2.0e-26
835.689,2.0e-25,5.0e-26
835.721,NaN,NaN
835.728,NaN,NaN
835.735,3.0e-26,1.0e-26
835.802,NaN,NaN
835.851,8.0e-26,2.0e-26
835.856,7.0e-26,2.0e-26
835.863,6.0e-26,2.0e-26
835.947,2.0e-26,1.0e-26
836.216,NaN,NaN
836.222,NaN,NaN
836.239,NaN,NaN
836.246,7.0e-26,2.0e-26
836.253,NaN,NaN
836.256,NaN,NaN
836.26,NaN,NaN
836.273,NaN,NaN
836.283,NaN,NaN
836.31,7.0e-26,2.0e-26
836.367,NaN,NaN
836.371,NaN,NaN
836.376,1.0e-25,1.0e-26
836.381,NaN,NaN
837.072,NaN,NaN
837.215,1.3e-25,4.0e-26
