λ,σ,Δσ
160.0,1.08e-17,NaN
162.0,1.0e-18,NaN
163.3,9.03e-19,NaN
164.0,8.96e-19,NaN
165.0,7.48e-19,NaN
166.0,7.95e-19,NaN
168.0,8.75e-19,NaN
170.0,1.24e-18,NaN
172.0,1.13e-18,NaN
173.3,1.23e-18,NaN
174.0,9.55e-19,NaN
175.0,1.07e-18,NaN
176.0,8.42e-19,NaN
176.6,7.89e-19,NaN
178.0,6.62e-19,NaN
180.0,6.38e-19,NaN
182.0,4.77e-19,NaN
183.3,4.23e-19,NaN
185.0,3.18e-19,NaN
186.6,2.31e-19,NaN
190.0,1.27e-19,NaN
193.3,7.36e-20,NaN
195.0,3.69e-20,NaN
196.6,2.58e-20,NaN
200.0,1.14e-20,NaN
202.0,7.31e-21,NaN
203.3,6.88e-21,NaN
204.0,6.36e-21,NaN
205.0,6.47e-21,NaN
206.0,4.32e-21,NaN
206.6,2.95e-21,NaN
208.0,2.74e-21,NaN
210.0,1.42e-21,NaN
212.0,9.5e-22,NaN
213.3,8.86e-22,NaN
215.0,4.31e-22,NaN
216.6,2.41e-22,NaN
