λ,σ,Δσ
850.063,5.0e-26,2.0e-26
850.212,3.0e-26,2.0e-26
850.257,1.0e-26,1.0e-26
850.331,2.0e-26,1.0e-26
850.741,9.0e-26,2.0e-26
850.752,NaN,NaN
850.938,1.0e-25,3.0e-26
851.201,5.0e-26,1.0e-26
851.297,8.0e-26,2.0e-26
851.304,5.0e-26,1.0e-26
851.317,6.0e-26,3.0e-26
851.465,6.0e-26,2.0e-26
851.485,NaN,NaN
851.503,6.0e-26,2.0e-26
851.515,1.0e-25,3.0e-26
851.532,4.0e-26,2.0e-26
851.552,7.0e-26,1.0e-26
851.565,5.0e-26,1.0e-26
851.574,5.0e-26,2.0e-26
851.586,NaN,NaN
851.602,NaN,NaN
851.938,5.0e-26,1.0e-26
851.941,NaN,NaN
851.995,9.0e-26,2.0e-26
852.153,NaN,NaN
852.172,8.0e-26,2.0e-26
852.181,NaN,NaN
852.453,4.0e-26,1.0e-26
852.466,5.0e-26,2.0e-26
852.488,2.0e-26,1.0e-26
852.495,6.0e-26,1.0e-26
852.501,3.0e-26,1.0e-26
852.612,5.0e-26,3.0e-26
852.99,NaN,NaN
853.006,NaN,NaN
853.163,7.0e-26,2.0e-26
853.185,NaN,NaN
853.196,NaN,NaN
853.403,9.0e-26,3.0e-26
853.421,NaN,NaN
853.496,6.0e-26,3.0e-26
853.508,1.0e-25,4.0e-26
853.724,8.0e-26,3.0e-26
853.732,NaN,NaN
853.737,1.0e-25,3.0e-26
853.986,NaN,NaN
854.0,5.0e-26,2.0e-26
854.005,NaN,NaN
854.012,2.0e-26,1.0e-26
854.031,NaN,NaN
854.042,NaN,NaN
854.067,8.0e-26,2.0e-26
854.097,8.0e-26,2.0e-26
854.115,NaN,NaN
854.13,NaN,NaN
854.142,NaN,NaN
854.158,1.0e-25,3.0e-26
854.616,6.0e-26,2.0e-26
854.679,2.0e-25,3.0e-26
855.246,2.0e-26,1.0e-26
855.263,8.0e-26,2.0e-26
855.394,5.0e-26,1.0e-26
855.493,2.0e-25,2.0e-26
855.553,2.0e-25,7.0e-26
855.563,NaN,NaN
855.604,1.1e-25,1.0e-26
855.615,NaN,NaN
855.62,1.0e-25,1.0e-26
855.831,7.0e-26,7.0e-26
855.844,5.0e-26,2.0e-26
855.868,1.3e-25,4.0e-26
856.042,4.0e-26,1.0e-26
856.053,2.0e-26,1.0e-26
856.061,4.0e-26,1.0e-26
856.079,3.0e-26,1.0e-26
856.088,2.0e-26,1.0e-26
856.437,8.0e-26,2.0e-26
856.448,NaN,NaN
856.453,NaN,NaN
856.706,2.0e-26,1.0e-26
856.772,5.0e-26,1.0e-26
857.043,4.0e-26,2.0e-26
857.054,NaN,NaN
857.061,NaN,NaN
857.079,1.2e-25,6.0e-26
857.139,2.4e-25,6.0e-26
857.151,NaN,NaN
857.174,4.0e-26,2.0e-26
857.179,NaN,NaN
857.185,NaN,NaN
857.193,7.0e-26,2.0e-26
857.322,NaN,NaN
857.328,1.2e-25,2.0e-26
857.593,3.0e-26,2.0e-26
857.6,NaN,NaN
857.614,5.0e-26,2.0e-26
857.643,3.0e-26,1.0e-26
857.72,NaN,NaN
857.723,NaN,NaN
857.728,NaN,NaN
857.744,1.0e-26,1.0e-26
857.781,5.0e-26,1.0e-26
857.788,4.0e-26,1.0e-26
857.825,6.0e-26,1.0e-26
857.839,5.0e-26,1.0e-26
857.853,5.0e-26,1.0e-26
857.867,3.0e-26,1.0e-26
857.875,NaN,NaN
858.385,5.0e-26,1.0e-26
858.409,3.0e-26,2.0e-26
858.421,2.0e-26,1.0e-26
858.441,5.0e-26,2.0e-26
858.488,4.0e-26,1.0e-26
858.493,6.0e-26,1.0e-26
858.5,NaN,NaN
858.521,3.0e-26,1.0e-26
859.072,1.2e-25,3.0e-26
859.16,1.6e-25,5.0e-26
859.197,NaN,NaN
859.261,NaN,NaN
859.264,NaN,NaN
859.273,NaN,NaN
859.275,NaN,NaN
859.281,NaN,NaN
859.287,6.0e-26,1.0e-26
859.294,NaN,NaN
859.298,NaN,NaN
859.313,1.3e-25,1.0e-26
859.319,NaN,NaN
859.323,NaN,NaN
859.329,8.0e-27,4.0e-27
859.333,NaN,NaN
859.475,1.2e-25,4.0e-26
859.504,1.6e-25,4.0e-26
859.719,NaN,NaN
860.088,1.0e-25,1.0e-26
860.537,1.5e-25,7.0e-26
860.545,NaN,NaN
860.602,1.1e-25,2.0e-26
860.62,6.0e-26,3.0e-26
860.817,3.0e-26,1.0e-26
860.828,6.0e-26,1.0e-26
860.857,NaN,NaN
860.869,NaN,NaN
860.883,7.0e-26,1.0e-26
861.041,1.3e-25,3.0e-26
861.106,1.4e-25,4.0e-26
861.959,NaN,NaN
861.964,NaN,NaN
861.977,3.0e-26,1.0e-26
862.464,NaN,NaN
862.481,3.0e-26,1.0e-26
862.485,NaN,NaN
862.491,2.0e-26,1.0e-26
