λ,σ,Δσ
176.2,5.71e-18,NaN
177.8,3.68e-18,NaN
179.4,2.56e-18,NaN
181.0,1.93e-18,NaN
182.65,1.63e-18,NaN
184.35,1.4e-18,NaN
186.05,1.45e-18,NaN
187.8,1.61e-18,NaN
189.6,1.82e-18,NaN
191.4,2.07e-18,NaN
193.25,2.25e-18,NaN
195.15,2.33e-18,NaN
197.05,2.335e-18,NaN
199.0,2.266e-18,NaN
201.0,2.171e-18,NaN
203.05,2.1e-18,NaN
205.15,2.084e-18,NaN
207.25,2.144e-18,NaN
209.4,2.29e-18,NaN
211.65,2.569e-18,NaN
213.9,2.829e-18,NaN
216.2,3.01e-18,NaN
218.6,3.089e-18,NaN
221.0,3.053e-18,NaN
223.45,2.905e-18,NaN
226.0,2.656e-18,NaN
228.6,2.331e-18,NaN
231.25,1.966e-18,NaN
233.95,1.592e-18,NaN
236.7,1.238e-18,NaN
239.55,9.26e-19,NaN
242.45,6.58e-19,NaN
245.4,4.52e-19,NaN
248.45,2.95e-19,NaN
251.6,1.9e-19,NaN
254.8,1.14e-19,NaN
258.05,6.77e-20,NaN
261.45,3.75e-20,NaN
264.95,2.05e-20,NaN
268.5,1.11e-20,NaN
272.15,5.84e-21,NaN
275.9,2.99e-21,NaN
279.75,1.52e-21,NaN
283.7,7.85e-22,NaN
287.8,4.06e-22,NaN
292.0,2.15e-22,NaN
