λ,σ,Δσ
190.29,2.12e-19,NaN
191.22,2.19e-19,NaN
192.11,2.27e-19,NaN
193.09,2.34e-19,NaN
194.18,2.4e-19,NaN
195.32,2.45e-19,NaN
196.4,2.5e-19,NaN
197.54,2.52e-19,NaN
198.68,2.54e-19,NaN
199.92,2.54e-19,NaN
201.07,2.52e-19,NaN
202.26,2.49e-19,NaN
203.36,2.45e-19,NaN
204.45,2.41e-19,NaN
205.4,2.36e-19,NaN
206.1,2.32e-19,NaN
207.1,2.25e-19,NaN
208.09,2.19e-19,NaN
209.04,2.12e-19,NaN
210.05,2.03e-19,NaN
211.0,1.96e-19,NaN
211.7,1.87e-19,NaN
212.38,1.81e-19,NaN
213.06,1.74e-19,NaN
213.76,1.67e-19,NaN
214.56,1.59e-19,NaN
215.37,1.52e-19,NaN
215.87,1.48e-19,NaN
216.63,1.41e-19,NaN
217.38,1.34e-19,NaN
218.14,1.28e-19,NaN
218.59,1.23e-19,NaN
219.09,1.19e-19,NaN
219.75,1.13e-19,NaN
220.56,1.08e-19,NaN
221.26,1.02e-19,NaN
221.97,9.71e-20,NaN
222.42,9.32e-20,NaN
223.03,8.93e-20,NaN
223.43,8.61e-20,NaN
224.04,8.16e-20,NaN
225.0,7.6e-20,NaN
225.55,7.2e-20,NaN
226.21,6.86e-20,NaN
226.67,6.58e-20,NaN
226.97,6.37e-20,NaN
227.38,6.15e-20,NaN
227.98,5.81e-20,NaN
228.59,5.49e-20,NaN
229.05,5.26e-20,NaN
229.45,5.03e-20,NaN
229.96,4.78e-20,NaN
230.37,4.59e-20,NaN
230.72,4.41e-20,NaN
231.08,4.23e-20,NaN
231.64,4.0e-20,NaN
231.99,3.84e-20,NaN
232.45,3.68e-20,NaN
232.86,3.48e-20,NaN
233.29,3.3e-20,NaN
233.72,3.12e-20,NaN
234.08,2.99e-20,NaN
234.52,2.83e-20,NaN
234.95,2.66e-20,NaN
235.31,2.53e-20,NaN
235.72,2.37e-20,NaN
236.33,2.2e-20,NaN
236.79,2.04e-20,NaN
237.41,1.89e-20,NaN
238.02,1.7e-20,NaN
238.64,1.52e-20,NaN
239.47,1.34e-20,NaN
