λ,σ,Δσ
105.01,2.19e-17,NaN
105.26,2.31e-17,NaN
105.43,2.41e-17,NaN
105.78,2.49e-17,NaN
106.16,2.42e-17,NaN
106.45,2.29e-17,NaN
106.7,2.18e-17,NaN
107.02,2.06e-17,NaN
107.4,1.92e-17,NaN
107.71,1.8e-17,NaN
108.05,1.7e-17,NaN
108.41,1.61e-17,NaN
108.79,1.51e-17,NaN
109.18,1.42e-17,NaN
109.56,1.33e-17,NaN
109.99,1.23e-17,NaN
110.3,1.13e-17,NaN
110.67,1.07e-17,NaN
110.96,1.02e-17,NaN
111.28,1.01e-17,NaN
111.74,1.03e-17,NaN
112.06,1.06e-17,NaN
112.35,1.07e-17,NaN
112.74,1.04e-17,NaN
113.06,9.82e-18,NaN
113.41,9.23e-18,NaN
113.85,8.71e-18,NaN
114.34,8.39e-18,NaN
114.9,8.08e-18,NaN
115.43,8.35e-18,NaN
116.02,8.81e-18,NaN
116.62,9.41e-18,NaN
117.23,1.01e-17,NaN
117.75,1.09e-17,NaN
118.23,1.17e-17,NaN
118.67,1.26e-17,NaN
119.09,1.36e-17,NaN
119.46,1.46e-17,NaN
119.8,1.57e-17,NaN
120.16,1.69e-17,NaN
120.57,1.8e-17,NaN
120.9,1.9e-17,NaN
121.04,1.86e-17,NaN
121.2,1.94e-17,NaN
121.33,2.06e-17,NaN
121.55,1.97e-17,NaN
121.68,2.03e-17,NaN
121.84,2.11e-17,NaN
121.98,2.03e-17,NaN
122.09,2.09e-17,NaN
122.25,2.16e-17,NaN
122.36,2.09e-17,NaN
122.43,2.05e-17,NaN
122.64,2.11e-17,NaN
122.71,2.24e-17,NaN
122.84,2.12e-17,NaN
122.94,2.06e-17,NaN
123.08,2.16e-17,NaN
123.24,2.26e-17,NaN
123.31,2.16e-17,NaN
123.41,2.08e-17,NaN
123.52,2.15e-17,NaN
123.68,2.24e-17,NaN
123.83,2.1e-17,NaN
123.9,1.98e-17,NaN
124.03,2.09e-17,NaN
124.18,2.18e-17,NaN
124.31,2.08e-17,NaN
124.35,1.96e-17,NaN
124.52,2.06e-17,NaN
124.68,2.18e-17,NaN
124.78,2.06e-17,NaN
124.88,1.95e-17,NaN
124.99,2.06e-17,NaN
125.19,2.19e-17,NaN
125.32,2.09e-17,NaN
125.41,2.0e-17,NaN
125.59,2.09e-17,NaN
125.7,2.21e-17,NaN
125.87,2.08e-17,NaN
126.02,2.18e-17,NaN
126.19,2.27e-17,NaN
126.31,2.18e-17,NaN
126.52,2.28e-17,NaN
126.64,2.36e-17,NaN
126.89,2.45e-17,NaN
127.01,2.54e-17,NaN
127.18,2.66e-17,NaN
127.38,2.79e-17,NaN
127.59,2.93e-17,NaN
127.77,3.07e-17,NaN
127.99,3.22e-17,NaN
128.15,3.34e-17,NaN
128.33,3.5e-17,NaN
128.45,3.65e-17,NaN
128.64,3.81e-17,NaN
128.82,3.97e-17,NaN
128.96,4.1e-17,NaN
129.13,4.26e-17,NaN
129.32,4.39e-17,NaN
129.51,4.56e-17,NaN
129.68,4.69e-17,NaN
129.81,4.79e-17,NaN
130.03,4.87e-17,NaN
130.23,4.94e-17,NaN
130.45,5.01e-17,NaN
130.71,5.03e-17,NaN
131.02,5.01e-17,NaN
131.23,4.94e-17,NaN
131.43,4.87e-17,NaN
131.64,4.78e-17,NaN
131.8,4.69e-17,NaN
131.96,4.58e-17,NaN
132.16,4.45e-17,NaN
132.38,4.29e-17,NaN
132.56,4.12e-17,NaN
132.73,3.97e-17,NaN
132.87,3.86e-17,NaN
133.02,3.73e-17,NaN
133.18,3.59e-17,NaN
133.35,3.45e-17,NaN
133.53,3.32e-17,NaN
133.71,3.2e-17,NaN
133.89,3.07e-17,NaN
134.09,2.94e-17,NaN
134.27,2.83e-17,NaN
134.42,2.72e-17,NaN
134.58,2.61e-17,NaN
134.75,2.51e-17,NaN
134.93,2.4e-17,NaN
135.12,2.27e-17,NaN
135.36,2.13e-17,NaN
135.59,1.99e-17,NaN
135.8,1.86e-17,NaN
135.99,1.75e-17,NaN
136.17,1.65e-17,NaN
136.4,1.53e-17,NaN
136.6,1.42e-17,NaN
136.91,1.31e-17,NaN
137.17,1.22e-17,NaN
137.48,1.14e-17,NaN
137.84,1.02e-17,NaN
138.2,9.21e-18,NaN
138.6,8.23e-18,NaN
139.02,7.27e-18,NaN
139.38,6.53e-18,NaN
139.74,5.88e-18,NaN
140.22,5.22e-18,NaN
140.58,4.59e-18,NaN
141.02,4.07e-18,NaN
141.55,3.61e-18,NaN
142.04,3.37e-18,NaN
142.49,3.27e-18,NaN
143.02,3.36e-18,NaN
143.48,3.6e-18,NaN
143.93,4.04e-18,NaN
144.34,4.57e-18,NaN
144.7,5.21e-18,NaN
144.97,5.85e-18,NaN
145.32,6.86e-18,NaN
145.57,7.71e-18,NaN
145.79,8.63e-18,NaN
