 int. wave (nm)     cross-section       phi
    1     121.5        0.0000E+00    1.0000
    2     116.7        0.0000E+00    1.0000
    3     117.3        0.0000E+00    1.0000
    4     117.9        0.0000E+00    1.0000
    5     118.7        0.0000E+00    1.0000
    6     119.4        0.0000E+00    1.0000
    7     120.2        0.0000E+00    1.0000
    8     120.8        0.0000E+00    1.0000
    9     121.6        0.0000E+00    1.0000
   10     122.3        0.0000E+00    1.0000
   11     123.1        0.0000E+00    1.0000
   12     123.8        0.0000E+00    1.0000
   13     124.6        0.0000E+00    1.0000
   14     125.4        0.0000E+00    1.0000
   15     126.2        0.0000E+00    1.0000
   16     127.0        0.0000E+00    1.0000
   17     127.8        0.0000E+00    1.0000
   18     128.6        0.0000E+00    1.0000
   19     129.4        0.0000E+00    1.0000
   20     130.3        0.0000E+00    1.0000
   21     131.1        0.0000E+00    1.0000
   22     132.0        0.0000E+00    1.0000
   23     132.9        0.0000E+00    1.0000
   24     133.8        0.0000E+00    1.0000
   25     134.6        0.0000E+00    1.0000
   26     135.6        0.0000E+00    1.0000
   27     136.5        0.0000E+00    1.0000
   28     137.4        0.0000E+00    1.0000
   29     138.4        0.0000E+00    1.0000
   30     139.9        0.0000E+00    1.0000
   31     141.8        0.0000E+00    1.0000
   32     143.9        0.0000E+00    1.0000
   33     145.9        0.0000E+00    1.0000
   34     148.1        0.0000E+00    1.0000
   35     150.4        0.0000E+00    1.0000
   36     152.6        0.0000E+00    1.0000
   37     155.0        0.0000E+00    1.0000
   38     157.4        0.0000E+00    1.0000
   39     160.0        0.0000E+00    1.0000
   40     162.6        0.0000E+00    1.0000
   41     165.3        0.0000E+00    1.0000
   42     168.1        0.0000E+00    1.0000
   43     170.9        0.0000E+00    1.0000
   44     173.1        0.0000E+00    1.0000
   45     174.6        0.0000E+00    1.0000
   46     176.2        0.0000E+00    1.0000
   47     177.8        0.0000E+00    1.0000
   48     179.4        0.0000E+00    1.0000
   49     181.0        0.0000E+00    1.0000
   50     182.7        0.0000E+00    1.0000
   51     184.3        0.0000E+00    1.0000
   52     186.1        0.0000E+00    1.0000
   53     187.8        0.0000E+00    1.0000
   54     189.6        2.7520E-21    1.0000
   55     191.4        2.9680E-21    1.0000
   56     193.2        3.1840E-21    1.0000
   57     195.1        3.4120E-21    1.0000
   58     197.0        3.6400E-21    1.0000
   59     199.0        3.8800E-21    1.0000
   60     201.0        4.2700E-21    1.0000
   61     203.1        4.8370E-21    1.0000
   62     205.1        5.3770E-21    1.0000
   63     207.3        5.9710E-21    1.0000
   64     209.4        6.5380E-21    1.0000
   65     211.6        7.0840E-21    1.0000
   66     213.9        7.6360E-21    1.0000
   67     216.2        8.1880E-21    1.0000
   68     218.6        8.7640E-21    1.0000
   69     221.0        9.1400E-21    1.0000
   70     223.5        9.2400E-21    1.0000
   71     226.0        9.3400E-21    1.0000
   72     228.6        9.4440E-21    1.0000
   73     231.2        9.2840E-21    1.0000
   74     233.9        8.7980E-21    1.0000
   75     236.7        8.2940E-21    1.0000
   76     239.5        7.7900E-21    1.0000
   77     242.4        7.0280E-21    1.0000
