λ,σ,Δσ
160.0,6.6659e-18,NaN
160.2,5.9651e-18,NaN
160.4,5.6345e-18,NaN
160.6,5.2054e-18,NaN
160.8,5.0764e-18,NaN
161.0,4.8654e-18,NaN
161.2,4.9239e-18,NaN
161.4,4.9584e-18,NaN
161.6,5.0235e-18,NaN
161.8,5.0737e-18,NaN
162.0,5.2118e-18,NaN
162.2,5.3339e-18,NaN
162.4,5.4223e-18,NaN
162.6,5.546e-18,NaN
162.8,5.6598e-18,NaN
163.0,5.7935e-18,NaN
163.2,5.8811e-18,NaN
163.4,6.0068e-18,NaN
163.6,6.1372e-18,NaN
163.8,6.1582e-18,NaN
164.0,6.2515e-18,NaN
164.2,6.3821e-18,NaN
164.4,6.4546e-18,NaN
164.6,6.5799e-18,NaN
164.8,6.7696e-18,NaN
165.0,6.8999e-18,NaN
165.2,6.9945e-18,NaN
165.4,7.0762e-18,NaN
165.6,7.1631e-18,NaN
165.8,7.2407e-18,NaN
166.0,7.3135e-18,NaN
166.2,7.4188e-18,NaN
166.4,7.5008e-18,NaN
166.6,7.5971e-18,NaN
166.8,7.673e-18,NaN
167.0,7.7758e-18,NaN
167.2,7.8581e-18,NaN
167.4,8.09e-18,NaN
167.6,8.2943e-18,NaN
167.8,8.4736e-18,NaN
168.0,8.5849e-18,NaN
168.2,8.6795e-18,NaN
168.4,8.742e-18,NaN
168.6,8.7557e-18,NaN
168.8,8.7234e-18,NaN
169.0,8.6478e-18,NaN
169.2,8.5298e-18,NaN
169.4,8.3529e-18,NaN
169.6,8.2888e-18,NaN
169.8,8.2222e-18,NaN
170.0,8.1587e-18,NaN
170.2,8.1388e-18,NaN
170.4,8.1615e-18,NaN
170.6,8.2055e-18,NaN
170.8,8.2231e-18,NaN
171.0,8.3156e-18,NaN
171.2,8.4409e-18,NaN
171.4,8.5996e-18,NaN
171.6,8.7902e-18,NaN
171.8,8.9786e-18,NaN
172.0,9.0875e-18,NaN
172.2,9.1782e-18,NaN
172.4,9.2781e-18,NaN
172.6,9.2763e-18,NaN
172.8,9.1991e-18,NaN
173.0,9.0753e-18,NaN
173.2,8.9203e-18,NaN
173.4,8.6927e-18,NaN
173.6,8.4581e-18,NaN
173.8,8.2137e-18,NaN
174.0,7.965e-18,NaN
174.2,7.7346e-18,NaN
174.4,7.5018e-18,NaN
174.6,7.2834e-18,NaN
174.8,7.0423e-18,NaN
175.0,6.9073e-18,NaN
175.2,6.7641e-18,NaN
175.4,6.528e-18,NaN
175.6,6.3279e-18,NaN
175.8,6.1285e-18,NaN
176.0,5.9341e-18,NaN
176.2,5.7006e-18,NaN
176.4,5.4712e-18,NaN
176.6,5.2474e-18,NaN
176.8,5.033e-18,NaN
177.0,4.8344e-18,NaN
177.2,4.6218e-18,NaN
177.4,4.4013e-18,NaN
177.6,4.2613e-18,NaN
177.8,4.156e-18,NaN
178.0,4.0347e-18,NaN
178.2,3.9134e-18,NaN
178.4,3.8213e-18,NaN
178.6,3.7527e-18,NaN
178.8,3.6462e-18,NaN
179.0,3.5142e-18,NaN
179.2,3.3927e-18,NaN
179.4,3.2773e-18,NaN
179.6,3.1768e-18,NaN
179.8,3.0998e-18,NaN
180.0,3.0193e-18,NaN
180.5,2.8863e-18,NaN
181.0,2.7158e-18,NaN
181.5,2.519e-18,NaN
182.0,2.3864e-18,NaN
182.5,2.2656e-18,NaN
183.0,2.1444e-18,NaN
183.5,2.0335e-18,NaN
184.0,1.9592e-18,NaN
184.5,1.8461e-18,NaN
185.0,1.7236e-18,NaN
185.5,1.6261e-18,NaN
186.0,1.5596e-18,NaN
186.5,1.4537e-18,NaN
187.0,1.3299e-18,NaN
187.5,1.2207e-18,NaN
188.0,1.1288e-18,NaN
188.5,1.057e-18,NaN
189.0,9.3864e-19,NaN
189.5,8.3401e-19,NaN
190.0,7.5966e-19,NaN
190.5,6.89e-19,NaN
191.0,6.2021e-19,NaN
191.5,5.6063e-19,NaN
192.0,5.074e-19,NaN
192.5,4.6673e-19,NaN
193.0,4.3515e-19,NaN
193.5,4.0522e-19,NaN
194.0,3.7954e-19,NaN
194.5,3.609e-19,NaN
195.0,3.5291e-19,NaN
195.5,3.3227e-19,NaN
196.0,3.0638e-19,NaN
196.5,2.8869e-19,NaN
197.0,2.6869e-19,NaN
197.5,2.5113e-19,NaN
198.0,2.3356e-19,NaN
198.5,2.1978e-19,NaN
199.0,2.0579e-19,NaN
199.5,1.9275e-19,NaN
200.0,1.7923e-19,NaN
