λ,σ,Δσ
164.0,2.26e-18,NaN
164.5,2.313e-18,NaN
165.0,2.407e-18,NaN
165.5,2.36e-18,NaN
166.0,2.458e-18,NaN
166.5,2.411e-18,NaN
167.0,2.484e-18,NaN
167.5,2.652e-18,NaN
168.0,2.619e-18,NaN
168.5,2.93e-18,NaN
169.0,2.752e-18,NaN
169.5,2.974e-18,NaN
170.0,2.805e-18,NaN
170.5,2.963e-18,NaN
171.0,2.94e-18,NaN
171.5,2.999e-18,NaN
172.0,2.922e-18,NaN
172.5,2.832e-18,NaN
173.0,2.983e-18,NaN
173.5,2.89e-18,NaN
174.0,3.181e-18,NaN
174.5,3.151e-18,NaN
175.0,3.617e-18,NaN
175.5,3.656e-18,NaN
176.0,3.943e-18,NaN
176.5,4.26e-18,NaN
177.0,4.66e-18,NaN
177.5,5.118e-18,NaN
178.0,5.611e-18,NaN
178.5,6.133e-18,NaN
179.0,6.67e-18,NaN
179.5,7.265e-18,NaN
180.0,7.889e-18,NaN
180.5,8.554e-18,NaN
181.0,9.193e-18,NaN
181.5,9.938e-18,NaN
182.0,1.059e-17,NaN
182.5,1.136e-17,NaN
183.0,1.212e-17,NaN
183.5,1.283e-17,NaN
184.0,1.368e-17,NaN
184.5,1.451e-17,NaN
185.0,1.538e-17,NaN
185.5,1.623e-17,NaN
186.0,1.703e-17,NaN
186.5,1.79e-17,NaN
187.0,1.883e-17,NaN
187.5,1.965e-17,NaN
188.0,2.045e-17,NaN
188.5,2.128e-17,NaN
189.0,2.207e-17,NaN
189.5,2.285e-17,NaN
190.0,2.355e-17,NaN
190.5,2.423e-17,NaN
191.0,2.49e-17,NaN
191.5,2.545e-17,NaN
192.0,2.592e-17,NaN
192.5,2.633e-17,NaN
193.0,2.664e-17,NaN
193.5,2.684e-17,NaN
194.0,2.697e-17,NaN
194.5,2.694e-17,NaN
195.0,2.68e-17,NaN
195.5,2.655e-17,NaN
196.0,2.619e-17,NaN
196.5,2.573e-17,NaN
197.0,2.514e-17,NaN
197.5,2.452e-17,NaN
198.0,2.366e-17,NaN
198.5,2.28e-17,NaN
199.0,2.19e-17,NaN
199.5,2.085e-17,NaN
200.0,1.978e-17,NaN
200.5,1.87e-17,NaN
201.0,1.758e-17,NaN
201.5,1.645e-17,NaN
202.0,1.523e-17,NaN
202.5,1.401e-17,NaN
203.0,1.287e-17,NaN
203.5,1.178e-17,NaN
204.0,1.079e-17,NaN
204.5,9.9e-18,NaN
205.0,9.098e-18,NaN
205.5,8.376e-18,NaN
206.0,7.742e-18,NaN
206.5,7.184e-18,NaN
207.0,6.678e-18,NaN
207.5,6.219e-18,NaN
208.0,5.808e-18,NaN
208.5,5.449e-18,NaN
209.0,5.09e-18,NaN
209.5,4.719e-18,NaN
210.0,4.396e-18,NaN
210.5,4.112e-18,NaN
211.0,3.865e-18,NaN
211.5,3.621e-18,NaN
212.0,3.379e-18,NaN
212.5,3.172e-18,NaN
213.0,2.984e-18,NaN
213.5,2.805e-18,NaN
214.0,2.632e-18,NaN
214.5,2.475e-18,NaN
215.0,2.343e-18,NaN
215.5,2.203e-18,NaN
216.0,2.076e-18,NaN
216.5,1.952e-18,NaN
217.0,1.831e-18,NaN
217.5,1.722e-18,NaN
218.0,1.621e-18,NaN
218.5,1.52e-18,NaN
219.0,1.426e-18,NaN
219.5,1.341e-18,NaN
220.0,1.262e-18,NaN
220.5,1.184e-18,NaN
221.0,1.113e-18,NaN
221.5,1.041e-18,NaN
222.0,9.728e-19,NaN
222.5,9.048e-19,NaN
223.0,8.461e-19,NaN
223.5,7.878e-19,NaN
224.0,7.315e-19,NaN
224.5,6.807e-19,NaN
225.0,6.37e-19,NaN
225.5,5.914e-19,NaN
226.0,5.489e-19,NaN
226.5,5.082e-19,NaN
227.0,4.692e-19,NaN
227.5,4.333e-19,NaN
228.0,4.013e-19,NaN
228.5,3.696e-19,NaN
229.0,3.396e-19,NaN
229.5,3.133e-19,NaN
230.0,2.884e-19,NaN
230.5,2.656e-19,NaN
231.0,2.444e-19,NaN
231.5,2.245e-19,NaN
232.0,2.054e-19,NaN
232.5,1.884e-19,NaN
233.0,1.729e-19,NaN
233.5,1.581e-19,NaN
234.0,1.442e-19,NaN
234.5,1.323e-19,NaN
235.0,1.209e-19,NaN
235.5,1.113e-19,NaN
236.0,1.016e-19,NaN
236.5,9.246e-20,NaN
237.0,8.42e-20,NaN
237.5,7.662e-20,NaN
238.0,6.971e-20,NaN
238.5,6.329e-20,NaN
239.0,5.77e-20,NaN
239.5,5.242e-20,NaN
240.0,4.771e-20,NaN
240.5,4.344e-20,NaN
241.0,3.969e-20,NaN
241.5,3.591e-20,NaN
242.0,3.256e-20,NaN
242.5,2.966e-20,NaN
243.0,2.696e-20,NaN
243.5,2.449e-20,NaN
244.0,2.22e-20,NaN
244.5,2.014e-20,NaN
245.0,1.824e-20,NaN
245.5,1.645e-20,NaN
246.0,1.5e-20,NaN
246.5,1.363e-20,NaN
247.0,1.238e-20,NaN
247.5,1.123e-20,NaN
248.0,1.022e-20,NaN
248.5,9.37e-21,NaN
249.0,8.498e-21,NaN
249.5,7.738e-21,NaN
250.0,7.047e-21,NaN
250.5,6.446e-21,NaN
251.0,5.897e-21,NaN
251.5,5.406e-21,NaN
252.0,4.956e-21,NaN
252.5,4.541e-21,NaN
253.0,4.172e-21,NaN
253.5,3.829e-21,NaN
